Home,Away,MatchID,Href,Stadium
Australia,Pakistan,T20I # 548,http://www.espncricinfo.com/ci/engine/match/951355.html,Mohali
South Africa,West Indies,T20I # 549,http://www.espncricinfo.com/ci/engine/match/951357.html,Nagpur
England,Sri Lanka,T20I # 551,http://www.espncricinfo.com/ci/engine/match/951361.html,Delhi
India,Australia,T20I # 553,http://www.espncricinfo.com/ci/engine/match/951363.html,Mohali
South Africa,Sri Lanka,T20I # 554,http://www.espncricinfo.com/ci/engine/match/951367.html,Delhi
England,New Zealand,T20I # 555,http://www.espncricinfo.com/ci/engine/match/951369.html,Delhi
India,West Indies,T20I # 556,http://www.espncricinfo.com/ci/engine/match/951371.html,Mumbai
England,West Indies,T20I # 557,http://www.espncricinfo.com/ci/engine/match/951373.html,Kolkata
England,Sri Lanka,T20I # 561,http://www.espncricinfo.com/ci/engine/match/913633.html,Southampton
India,West Indies,T20I # 562,http://www.espncricinfo.com/ci/engine/match/1041615.html,Lauderhill
India,West Indies,T20I # 563,http://www.espncricinfo.com/ci/engine/match/1041617.html,Lauderhill
Sri Lanka,Australia,T20I # 565,http://www.espncricinfo.com/ci/engine/match/995467.html,Pallekele
England,Pakistan,T20I # 566,http://www.espncricinfo.com/ci/engine/match/913663.html,Manchester
Sri Lanka,Australia,T20I # 567,http://www.espncricinfo.com/ci/engine/match/995469.html,Colombo (RPS)
Pakistan,West Indies,T20I # 568,http://www.espncricinfo.com/ci/engine/match/1050217.html,Dubai (DSC)
Pakistan,West Indies,T20I # 569,http://www.espncricinfo.com/ci/engine/match/1050219.html,Dubai (DSC)
Pakistan,West Indies,T20I # 570,http://www.espncricinfo.com/ci/engine/match/1050221.html,Abu Dhabi
South Africa,West Indies,T20I # 413,http://www.espncricinfo.com/ci/engine/match/722335.html,Cape Town
South Africa,West Indies,T20I # 414,http://www.espncricinfo.com/ci/engine/match/722337.html,Johannesburg
South Africa,West Indies,T20I # 415,http://www.espncricinfo.com/ci/engine/match/736063.html,Durban
England,New Zealand,T20I # 423,http://www.espncricinfo.com/ci/engine/match/743953.html,Manchester
Sri Lanka,Pakistan,T20I # 448,http://www.espncricinfo.com/ci/engine/match/860279.html,Colombo (RPS)
Sri Lanka,Pakistan,T20I # 449,http://www.espncricinfo.com/ci/engine/match/860281.html,Colombo (RPS)
South Africa,New Zealand,T20I # 451,http://www.espncricinfo.com/ci/engine/match/848839.html,Durban
South Africa,New Zealand,T20I # 452,http://www.espncricinfo.com/ci/engine/match/848841.html,Centurion
England,Australia,T20I # 453,http://www.espncricinfo.com/ci/engine/match/743975.html,Cardiff
India,South Africa,T20I # 456,http://www.espncricinfo.com/ci/engine/match/903587.html,Dharamsala
India,South Africa,T20I # 457,http://www.espncricinfo.com/ci/engine/match/903589.html,Cuttack
Sri Lanka,West Indies,T20I # 460,http://www.espncricinfo.com/ci/engine/match/915783.html,Pallekele
Sri Lanka,West Indies,T20I # 461,http://www.espncricinfo.com/ci/engine/match/915785.html,Colombo (RPS)
England,Pakistan,T20I # 468,http://www.espncricinfo.com/ci/engine/match/902649.html,Dubai (DSC)
England,Pakistan,T20I # 469,http://www.espncricinfo.com/ci/engine/match/902651.html,Dubai (DSC)
England,Pakistan,T20I # 473,http://www.espncricinfo.com/ci/engine/match/902653.html,Sharjah
New Zealand,West Indies,T20I # 352,http://www.espncricinfo.com/ci/engine/match/661695.html,Auckland
New Zealand,West Indies,T20I # 353,http://www.espncricinfo.com/ci/engine/match/661697.html,Wellington
Australia,England,T20I # 354,http://www.espncricinfo.com/ci/engine/match/636164.html,Hobart
Australia,England,T20I # 355,http://www.espncricinfo.com/ci/engine/match/636165.html,Melbourne
Australia,England,T20I # 356,http://www.espncricinfo.com/ci/engine/match/636166.html,Sydney
West Indies,England,T20I # 361,http://www.espncricinfo.com/ci/engine/match/636536.html,Bridgetown
West Indies,England,T20I # 362,http://www.espncricinfo.com/ci/engine/match/636537.html,Bridgetown
South Africa,Australia,T20I # 363,http://www.espncricinfo.com/ci/engine/match/648681.html,Durban
West Indies,England,T20I # 364,http://www.espncricinfo.com/ci/engine/match/636538.html,Bridgetown
South Africa,Australia,T20I # 365,http://www.espncricinfo.com/ci/engine/match/648683.html,Centurion
India,Pakistan,T20I # 378,http://www.espncricinfo.com/ci/engine/match/682921.html,Dhaka
South Africa,Sri Lanka,T20I # 379,http://www.espncricinfo.com/ci/engine/match/682923.html,Chittagong
