Batsman,Bowler,0,1,2,3,4,5,6,7+,Wickets,Runs,Balls
AD Hales,WD Parnell,1,1,0,0,0,0,0,0,1,1,2
AD Hales,Yuvraj Singh,6,9,1,0,0,0,0,0,2,11,16
AD Mathews,A Ashish Reddy,0,2,0,0,0,0,0,0,0,2,2
AD Mathews,AB Dinda,3,1,1,0,1,0,0,0,1,7,6
AD Mathews,AD Russell,7,7,0,0,2,0,1,0,2,21,17
AD Mathews,AF Milne,1,2,1,0,0,0,0,0,0,4,4
AD Mathews,AJ Finch,3,0,0,0,2,0,0,0,0,8,5
AD Mathews,Anureet Singh,0,1,0,0,0,0,0,0,0,1,1
AD Mathews,Anwar Ali,2,1,2,0,0,0,0,0,0,5,5
AD Mathews,AR Patel,1,1,0,0,1,0,0,0,0,5,3
AD Mathews,AU Rashid,2,7,0,0,0,0,3,0,0,25,12
AD Mathews,B Kumar,1,5,0,0,0,0,0,0,0,5,6
AD Mathews,B Laughlin,2,4,1,0,1,0,1,0,0,16,9
AD Mathews,BA Stokes,9,5,2,0,1,0,0,0,0,13,17
AD Mathews,BCJ Cutting,1,1,1,0,0,0,0,0,0,3,3
AD Mathews,Bilawal Bhatti,0,0,3,0,3,0,0,0,0,18,6
AD Mathews,CH Morris,1,3,0,0,0,0,0,0,0,3,4
AD Mathews,CJ Jordan,2,6,0,0,2,0,0,0,0,14,10
AD Mathews,CR Brathwaite,1,3,0,0,0,0,0,0,0,3,4
AD Mathews,CR Woakes,2,1,0,0,0,0,0,0,0,1,3
AD Mathews,D Wiese,2,2,0,0,1,0,0,0,2,6,5
AD Mathews,DJ Bravo,7,6,2,0,2,0,3,0,2,36,20
AD Mathews,DJ Willey,2,3,0,0,0,0,0,0,0,3,5
AD Mathews,DJG Sammy,4,0,0,0,0,0,0,0,1,0,4
AD Mathews,DL Vettori,0,2,0,0,0,0,0,0,0,2,2
AD Mathews,DW Steyn,6,2,2,0,1,0,0,0,1,10,11
AD Mathews,GB Hogg,0,1,1,0,0,0,1,0,0,9,3
AD Mathews,GD Elliott,2,9,0,0,2,0,0,0,0,17,13
